rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"YETI Yonder 750 ml/25 oz Water Bottle with Yonder Chug Cap, Navy",B0BPNDNXDV,False,True,4.6,1036
1,YETI Rambler 20 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid,B07BMDSS3L,False,False,4.8,137518
2,YETI Rambler 30 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid,B07FMBWPYR,False,False,4.8,63253
3,"YETI Rambler 35 oz Straw Mug, Vacuum Insulated, Stainless Steel, Seafoam",B0BTTXMXZT,False,False,4.8,2350
4,"YETI Rambler 26 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B0842S68B4,False,False,4.8,25405
5,"YETI Rambler 10 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Navy",B0BWPJCBHV,False,False,4.6,6206
6,"YETI Rambler 10 oz Stackable Lowball 2.0, Vacuum Insulated, Stainless Steel with MagSlider Lid, Camp Green",B0C8W49JR2,False,False,4.7,1022
7,"YETI Rambler 30 oz Travel Mug, Stainless Steel, Vacuum Insulated with Stronghold Lid",B098Z11NNR,False,False,4.7,11906
8,"YETI Rambler 20 oz Travel Mug, Stainless Steel, Vacuum Insulated with Stronghold Lid",B08D3VNQLG,False,False,4.7,20422
9,"YETI Rambler 16 oz Stackable Pint, Vacuum Insulated, Stainless Steel with MagSlider Lid, White",B0B26MRMHK,False,False,4.7,2530
10,30oz Tumbler Double Wall Stainless Steel Vacuum Insulated Travel Mug with Splash-Proof Lid Metal Straw and Brush,B088TFSBLR,False,True,4.6,3152
11,"Sursip 32 oz Insulated Tumbler with Handle and Straw Lid, Vacuum Stainless Steel Cup, Keep Drinks Cold/Hot, Dishwasher Safe, Fit in Car Holder, Travel Coffee Mug for Home/Office/Party/Camping (Pink)",B0BN1MTNNQ,False,True,4.4,608
12,"Hydrapeak 72 oz Large Insulated Water Bottle, Leak Proof Water Bottle for Hot & Cold Liquid, 72oz Water Bottles, Water Jug, Stainless Steel (Storm)",B0B6WSPMYN,False,True,4.7,418
13,"BJPKPK Half Gallon Water Bottle with Handle, Insulated, Dishwasher Safe 64oz Leakproof BPA Free Jug, Large Stainless Steel for Sports, Grey",B09ZKS6SB7,False,True,4.4,1145
14,"YETI Rambler 18 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B0842BS84B,False,False,4.8,21890
15,"YETI Rambler 26 oz Straw Cup, Vacuum Insulated, Stainless Steel with Straw Lid, Seafoam",B08VF8NCLZ,False,False,4.8,2301
16,"YETI Rambler 10 oz Stackable Mug, Vacuum Insulated, Stainless Steel with MagSlider Lid, Charcoal",B0B649BGQJ,False,False,4.8,6507
17,"YETI Rambler 30 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Sharptail Taupe",B097CWD9G2,False,False,4.8,9954
18,"Sursip 40 oz Mug Tumbler with Screw Lid - Stainless Steel Vacuum Insulated Cup with Straw and Handle, Keeps Drinks Cold up to 24 Hours - Sweat Proof, Leak Proof, Dishwasher Safe, Car Holder (Plating)",B0B1V6F859,False,True,4.6,1156
19,"Hydrapeak Roadster 40 oz Tumbler with Handle and Straw Lid, Convenient 2 in 1 Lid, Tumbler Lid Straw, 40oz Tumbler With Handle (Orchid)",B09W48MV1Q,False,True,4.4,6642
20,Hydrapeak Voyager 40 oz Tumbler with Handle and Straw Lid | Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Insulated Cup | Holiday Gifts for Women Men Him Her (Iceberg),B0BR63Q5ZR,False,True,4.5,3104
21,"BJPKPK Insulated Water Bottles with Straw Lid,50oz Large Water Bottle,Stainless Steel Vacuum Water Bottle,Hot & Cold Insulated Water Bottles with 3 Lids and Paracord Handle,Gray",B09ZKS7JX3,False,True,4.6,6147
22,"YETI Rambler 18 oz Bottle, Stainless Steel, Vacuum Insulated, with Hot Shot Cap, Charcoal",B0B649N1L3,False,False,4.7,4212
23,"YETI Rambler Jr. 12 oz Kids Bottle, with Straw Cap",B07VKDJ8HR,False,False,4.8,26504
24,"YETI Rambler 46 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B08VF9CNBQ,False,False,4.8,7809
25,"YETI Rambler 10 oz Wine Tumbler, Vacuum Insulated, Stainless Steel with MagSlider Lid",B08RLKLDZ9,False,False,4.8,1064
26,"30oz Tumbler, Stainless Steel Vacuum Insulated Water Coffee Tumbler Cup, Double Wall Powder Coated Spill-Proof Travel Mug Thermal Cup for Home Outdoor (Navy Blue, 1 Pack)",B0BJVFFCR4,False,True,4.5,1327
