rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"YETI Yonder 1L/34 oz Water Bottle with Yonder Chug Cap, Clear",B0BTTX3JK8,False,True,4.6,1036.0
1,YETI Rambler 20 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid,B07FM5HLMF,False,False,4.8,137518.0
2,YETI Rambler 30 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid,B073WJRJZZ,False,False,4.8,63253.0
3,"YETI Rambler 35 oz Straw Mug, Vacuum Insulated, Stainless Steel, Charcoal",B0BTTWB6TC,False,False,4.8,2350.0
4,"YETI Rambler 18 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B0B64CVGZP,False,False,4.8,21890.0
5,"YETI Rambler 20 oz Travel Mug, Stainless Steel, Vacuum Insulated with Stronghold Lid",B08D3VPRQ1,False,False,4.7,20422.0
6,"YETI Rambler 10 oz Stackable Mug, Vacuum Insulated, Stainless Steel with MagSlider Lid, Navy",B08VF8X5PC,False,False,4.8,2026.0
7,"YETI Rambler 26 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B0842S56G8,False,False,4.8,25405.0
8,"YETI Rambler 10 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Navy",B0BWPJCBHV,False,False,4.6,6206.0
9,"YETI Rambler 30 oz Travel Mug, Stainless Steel, Vacuum Insulated with Stronghold Lid",B0BTTVTZ5D,False,False,4.7,11906.0
10,"YETI Rambler 36 oz Bottle, Vacuum Insulated, Stainless Steel with Chug Cap",B0BH6NYKNS,False,False,4.8,15457.0
11,"YETI Rambler Jr. 12 oz Kids Bottle, with Straw Cap",B07VKDJ8HR,False,False,4.8,26504.0
12,"YETI Rambler 10 oz Stackable Lowball 2.0, Vacuum Insulated, Stainless Steel with MagSlider Lid, Navy",B0BTTW9S6H,False,False,4.7,1022.0
13,"Magnetic Tumbler Lid,20 oz Tumbler Lid Replacement for YETI,BPA Free 2 Pack Black Cup Lids & 3 Pack Magnetic Slider",B0CG8QTKZ4,False,True,,
14,"YETI Rambler 18 oz Bottle, Stainless Steel, Vacuum Insulated, with Hot Shot Cap, Charcoal",B0B649N1L3,False,False,4.7,4212.0
15,"YETI Rambler 10 oz Wine Tumbler, Vacuum Insulated, Stainless Steel with MagSlider Lid",B08RLLJ8MH,False,False,4.8,1607.0
16,"YETI Rambler 26 oz Straw Cup, Vacuum Insulated, Stainless Steel with Straw Lid, Seafoam",B08VF8NCLZ,False,False,4.8,2301.0
17,"YETI Rambler 14 oz Mug, Vacuum Insulated, Stainless Steel with MagSlider Lid, Stainless",B08RLQ98SR,False,False,4.7,2700.0
18,"BJPKPK Half Gallon Water Bottle with Handle, Insulated, Dishwasher Safe 64oz Leakproof BPA Free Jug, Large Stainless Steel for Sports, Grey",B09ZKS6SB7,False,True,4.4,1145.0
