rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Extra Large & Cushioned Yoga Mat with Strap – 10mm & 12mm Thick Yoga Mat, Non-Skid Dual Surface Workout Mat, Eco-Friendly POE Yoga Mats for Women Men Kids, Perfect Exercise Mat for Pilates, Yoga, and Floor Workouts, Includes Carrying Strap.",B08JYQLKXZ,False,True,4.7,1075.0
1,Retrospec Solana 1 inch Yoga Mat,B092XMWXK7,False,True,4.6,5868.0
2,IUGA Pro Yoga Mat Non Slip Hot Yoga Mat Anti-tear Exercise Mat Eco Friendly Yoga Mats with SGS Certified Material Free Carrying Strap Included,B079BK15PT,False,True,4.4,2752.0
3,"Manduka PRO Yoga Mat - Multipurpose Exercise Mat for Yoga, Pilates, Home Workout, Built to Last a Lifetime, 6mm Thick Cushion for Joint Support and Stability",B005NZ8BGW,False,True,4.7,6322.0
4,BalanceFrom All Purpose 1/4-Inch High Density Anti-Tear Exercise Yoga Mat with Carrying Strap,B01IZDFWY2,False,False,4.5,43250.0
5,BalanceFrom All Purpose 1/2-Inch Extra Thick High Density Anti-Tear Exercise Yoga Mat with Carrying Strap with Optional Yoga Blocks,B00FO9ZRZK,False,False,4.5,90147.0
6,"Gaiam Essentials Thick Yoga Mat Fitness & Exercise Mat with Easy-Cinch Yoga Mat Carrier Strap, 72""L x 24""W x 2/5 Inch Thick",B07H9PZ42P,False,False,4.6,37758.0
7,Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat,B01LP0U5X0,True,False,4.6,72357.0
8,"Retrospec Retrospec Solana Yoga Mat 1/2"" Thick w/Nylon Strap for Men & Women - Non Slip Excercise Mat for Yoga, Pilates, Stretching, Floor & Fitness Workouts",B091FZL25K,False,False,4.4,2988.0
9,"Gaiam Essentials Premium Yoga Mat with Yoga Mat Carrier Sling (72""L x 24""W x 1/4 Inch Thick)",B07HB1JL16,False,False,4.7,15600.0
10,"Knsbk Non Slip Yoga Mat TPE Workout Mat for Men Women, Thick Workout Mat with Carrying Strap, Fitness Mats for Exercise, Yoga, Fitness, Pilates, Floor Workouts (72"" x 24"" x 6mm)",B09QC9DD7J,False,True,4.2,86.0
11,"Yoga Mat Thick | Premium Quality for Home Workout & Gym | Non-Slip, Eco-Friendly & Comfortable | Yoga Mats with Unique Design for Exercise Equipment | Calma Yoga Mats",B0BMMP9XMZ,False,True,5.0,4.0
12,"Odoland Large Yoga Mat for Pilates Stretching Home Gym Workout, Extra Thick Non Slip Exercise Mat, Extra Wide Fitness Mat for Men and Women, Mutil-size x 1/4'' Thick",B088LLH65L,False,True,4.5,1185.0
13,"POPFLEX Vegan Suede Yoga Mat With Strap Included - Ultra Absorbent Exercise Mat - Non Slip Yoga Mat - Large Yoga Mat for Women - Wide Yoga Mat, Thick Texture for Stylish Support",B09H33DCZC,False,True,4.5,582.0
14,"BOBO BANANA 1/4 Thick TPE Yoga Mat,72""x24"" Eco-friendly Non-Slip Exercise & Fitness Mat for Men&Women with Carrying Strap, Home Workout Mat for Yoga,Pilates& Floor Exercise",B09W5PN1N8,False,False,4.5,1033.0
15,"CAP Barbell HHY-CF004B Fitness Yoga Mat, Blue, Original version",B07234M1LY,False,False,4.2,4558.0
16,"Gaiam Print Yoga Mat, Non Slip Exercise & Fitness Mat for All Types of Yoga, Pilates & Floor Exercises",B01MY5MZSQ,False,False,4.6,9763.0
