rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,8 Pack Refill Cartridge Kit Replacement Only Blue,B0BZ7PHY25,False,True,4.6,84.0
1,Celiwace 8 Pack Fly Device Refill Cartridges Compatible with ZEEVO M364,B0C4T8KFY5,False,True,4.3,18.0
2,"Insect Trap Refill 4 Pack Kit, Attracting Trapping Insects Replacement Refill",B0CJ7MCKMK,False,True,,
3,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(4 Pack),B0CJ8S2Z1H,False,True,,
4,"Bundle Zevo Flying Insect Trap Refill Kit NO Device - Model 3 2 -Pack (2) Sold Separately, White (M364)",B09YJY3X2D,False,False,4.7,6639.0
5,Bundle Zevo Flying Insect Trap Refill Kit NO Device - Model 3-2 Pack (4 Cartridges),B0CG8VFG99,False,False,4.8,9.0
6,"ZEVO Indoor Flying Insect Trap for Fruit Flies, Gnats, and House Flies (1 Plug-in Base + 3 Refill Cartridge)",B0BWGM5HN5,False,False,4.3,3092.0
7,"ZEVO Refills Cartridges | Device Sold Separately, White, ZEVO Flying Insect Trap Refill Fly Trap Refill Cartridges + Includes Exclusive Venancio’sFridge Sticker & Sticky Fruit Trap (Zevo 2 Refills)",B0CBVVMB6D,False,False,4.7,121.0
8,"ZEVO Refills 02 Cartridges | Device Sold Separately, White, ZEVO Flying Insect Trap Refill Fly Trap Refill Cartridges + Includes Exclusive Venancio’sFridge Sticker & Sticky Fruit Trap",B0C78L9KLG,False,False,4.7,139.0
9,ZEVO Refills 4 Cartridges | Device Sold Separately+ 3 pcs Yellow Sticky Fruit Trap…,B0CBCX8WRW,False,False,4.6,64.0
10,"Zevo Flying Insect Trap Refill, 2 ct, Set with 4 pcs of Exclusive Fusion Shop Store Modern Yellow Sticky Fruit Trap (Pack of 2)",B0C78XWCPJ,False,False,4.6,46.0
11,"Zevo Flying Insect Trap, Fly Trap Refill Cartridge (2 Refill Cartridges) of YOLOMOLO with Gift",B0CC6DVS88,False,False,3.6,5.0
12,"Zevo Flying Insect Trap Refill Kit| Attracts and Traps Insects like Fruit Flies, Gnats, House Flies, Mosquitoes and Other Insects | Pack Includes 2 Refill cartridges| Device Sold Separately, White",B0B866CWSV,False,False,4.7,4813.0
13,Zevo Flying Insect Trap Refill Kit Mosquitoes and Other Insects Model 3,B09Y2F58J7,False,False,4.5,2700.0
14,"INRAGEO Insect Trap Refill Kit, Compatible with M364, Attracts Traps Flying Insects Fruit Flies and Other Insects (6Pcs)",B0C9ZX3D8V,False,False,4.5,77.0
15,Refill Cartridge Kit Compatible with M364 (4Pcs),B0CDRQY5PK,False,False,4.2,17.0
16,"Katchy Indoor Insect Trap - Catcher & Killer for Mosquitos, Gnats, Moths, Fruit Flies - Non-Zapper Traps for Inside Your Home - Catch Insects Indoors with Suction, Bug Light & Sticky Glue (Black)",B07B6RZP4H,False,True,3.9,102810.0
17,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(Blue 4 Pack),B0CDKQZSGK,False,True,1.4,3.0
18,"COKIT 12 Packs Glue Pads Flying Insect Trap Refill Indoors Bug Catcher Replacement Sticky Glue Boards for Gnats, Mosquitoes, Fruit Fly Traps Refills Glue Cards 4.0 Inches",B0C3TWSWMJ,False,True,4.7,13.0
19,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(6 Pack),B0C39Q7NYM,False,True,4.6,298.0
20,8 Pack Refill Cartridge Kit Replacement Only Blue,B0BZ7PHY25,False,False,4.6,84.0
21,12 Pcs Refill Cartridge Kit Compatible with ZEEVO M364,B0CGMX4VRG,False,False,1.0,1.0
22,"Husaco Insect Trap Refill Kit, Insects Replacement Kit Compatible M364, 6Pcs-Kit",B0C7M8LPNC,False,False,4.8,14.0
23,"8 Pcs Plug-in Refill Cartridge Kit Replacement, Compatible with ZEVO M364",B0CFZQ242D,False,False,5.0,3.0
24,100Pcs Double Sided Sticky Traps 6''x8'' Fruit Fly Trap Yellow Sticky Traps for Gnats Indoor&Outdoor Odorless Fungus Gnat Sticky Traps for Plants Insect Like White Flies Aphids Including Twist Ties,B0CCJ96ZG3,False,True,5.0,4.0
25,"ZVVN 8 Pack Plug-in Refill Cartridge Kit Replacement, Compatible with ZEVO M364",B0CHJ13ZH3,False,True,,
26,"Insect Trap Refill Kit, Attracting Trapping Insects Replacement Kit, Safe Non-Toxic Easy to use (4 Pack White)",B0C5H8C54P,False,True,4.6,61.0
27,"Aspectek Sticky Dome Flea Trap with 2 Sticky Discs. Odorless Insect Traps, Effective for Indoor Use - 2 Pack",B01MEG8LKK,False,True,4.0,8760.0
28,"Husaco Insect Trap Refill Kit, Insects Replacement Kit Compatible M364, 8Pcs-Kit",B0C7M6YY1B,False,False,4.1,14.0
29,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(4 Pack),B0CJ8S2Z1H,False,False,,
30,Celiwace 8 Pack Fly Device Refill Cartridges Compatible with ZEEVO M364,B0C4T8KFY5,False,False,4.3,18.0
31,"12 Pack Flying Insect Trap Refill Cartridges Compatible with ZEEVO M364, Flies, Fruit Flies, Moths, Gnats, Replacement Sticky Cartridge",B0CB8Y59DJ,False,False,5.0,2.0
32,"Raid Essentials Flying Insect Light Trap Refills, 2 Light Trap Cartridges, Featuring Light Powered Attraction",B0BF6ZFVGQ,False,False,4.3,1025.0
33,Refill Cartridge Kit Compatible with ZEVO M364 (8Pcs),B0CDGWN4KC,False,False,4.5,56.0
34,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(6 Pack),B0C39Q7NYM,False,False,4.6,298.0
35,"Safer Home SH502 Indoor Plug-In Fly Trap for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects – 400 Sq Ft of Protection",B09T3T1FYN,False,False,4.3,15437.0
36,"Insect Trap Refill 4 Pack Kit, Attracting Trapping Insects Replacement Refill",B0CJ7MCKMK,False,False,,
37,"Automatic Fruit Fly Trap Indoor, Fly Traps Indoor for Home, Gnat Traps for House, Mosquito Traps, Insect Traps Indoor with 10 Sticky Glue Boards, Black",B0C9C97BGP,False,False,3.8,475.0
38,ZEVO Refills 4 Cartridges | Device Sold Separately…,B0CDJGDGS6,False,False,4.8,9.0
39,Insect Trap Refill Kit，Attracts Trapping Flying Insects and Insects Replacement Kit，Easy to use(Blue 4 Pack),B0CDKQZSGK,False,False,1.4,3.0
40,Safer Home SH503 Indoor Plug-In Fly Trap Refill Pack of Glue Cards for SH502 Indoor Fly Trap – 3 Pack,B09T3SZ79V,False,False,4.5,4138.0
41,"Zevo Refills 4 Pack, Set with 3 pcs of Exclusive Fusion Shop Store Modern Yellow Sticky Fruit Trap. (Pack of 1)",B0C7SCYXJS,False,False,4.6,56.0
42,"Katchy Indoor Fly Trap - Catcher & Killer for Mosquito, Gnat, Moth, Fruit Flies - Non-Zapper Traps for Buzz-Free Home (8-Pack Glue Boards for Original and Automatic Model, White)",B07GKG19MV,False,False,4.5,7933.0
43,"Flying Insect Trap, Indoor Plug-in Fly Trap for Home, Mosquito Killer Indoor Gnat Moth Catcher with Night UV Light, Mosquito Attractant Fly Bug Zapper for Home, Office (1 x Trap & 4 x Refills)",B0C54RHSX6,False,False,3.8,237.0
44,Refill Cartridge Kit Compatible with ZEVO M364 (6 Pcs),B0CHJ8DX6D,False,False,,
45,"Flying Insect Trap Plug-In, 2023 Upgrade Mosquito Trap Gnat Killer Indoor, Safe Non-Toxic UV Light Attractant Indoor Plug-In Night Light Fly Trap with Sticky Pad for Flies, Gnats, Moths(1 Pack, White)",B0BY2HNXHV,False,False,4.0,2748.0
46,"VEYOFLY, Flying Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Fruit Fly Traps for Indoors, gnat Killer Indoor, Bug Killer, Insect Killer (Pack of 4)",B0C3LHD9SD,False,False,3.8,1844.0
47,"Fruit Fly Trap Refill Liquid Only, TYIUHELAS Fruit Fly Traps for Indoors Refill Liquid, Fruit Fly Trap Bait for Various Flytraps (6 Pack)",B0C7Z9JMXG,False,False,4.1,688.0
48,"Zevo®' Flying Insect Trap Refill Cartridges - (2 Double Packs, 8 cartridges), Effective Fly Trap: Bonus, (1) Sweetfragances Mosquito Repellent Wristband (Color May Vary)",B0C9KT1LC4,False,False,5.0,1.0
49,"Insect Trap Refill Kit, Attracting Trapping Insects Replacement Kit, Safe Non-Toxic Easy to use (4 Pack White)",B0C5H8C54P,False,False,4.6,61.0
50,"Zevo Flying Insect Trap Refill - 2 Cartridges (Pack of 2) Total 4 Cartridges | No Device, Sold Separately, Fly Trap Refill Cartridges + STS Sticker.",B0CG8K23T2,False,False,4.3,3.0
51,"ZEVO (2 Refills Cartridges) | Device Sold Separately, White, ZEVO Flying Insect Trap Refill Fly Trap+ Includes Exclusive Venancio’sFridge Sticker & Sticky Fruit Trap (Refills 2 Cartridges)",B0CB6SNKC4,False,False,5.0,2.0
52,"DUNAGA Fly Traps Indoor, Fruit Fly Traps, Gnat Traps, Mosquito Traps, Insect Traps Indoor with 10 Sticky Glue Boards, Black",B0BZXNNKDC,False,False,4.0,5541.0
53,"36 Pack Fungus Gnat Traps for House Plants, Black Sticky Traps for Indoor Outdoor Use to Get Rid of Whitefly Mosquitoes Fungus Gnats Thrips Leafminer Flying Insects Protect Your Plants",B0B1BVHTPX,False,False,4.5,1283.0
54,"Zevo Flying Insect Trap Refill, 2 ct (3 Pack) Set with 3 pcs of Exclusive Fusion Shop Store Modern Yellow Sticky Fruit Trap.",B0C7RXJQDP,False,False,4.2,7.0
55,Pro Zevo Flying Insect Trap Starter Kit 2 Pack,B0CBCGQZVX,False,False,4.6,63.0
56,"Zevo Flying Insect Trap, Fly Trap Refill Cartridge (2 Refill Cartridges) of YOLOMOLO with Gift Bookmark",B0CGTFLHBW,False,False,,
57,Indoor Flying Insect Trap Refill Cartridges 2 * 2 (4 Refill Cartridges),B0C97PF7YB,False,False,5.0,2.0
58,"VEYOFLY Fly Trap, Plug in Flying Insect Trap, Fruit Fly Traps for Indoors-Safer Home Indoor- Bug Light Indoor Plug in- Mosquito,Fruit Fly, Gnat Trap, Flea Trap, Bugs- No Odor (2 Device+6 Refills)",B0BZTJN4F9,False,False,4.0,1021.0
59,"Flying Insect Trap, Fruit Fly Traps for Indoors, Home Plug in Bug Catcher Indoor Sticky, Electric Fly Light Trap Kit for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects",B0C61DLJ4B,False,False,3.8,47.0
