rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Flying Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Fruit Fly Traps for Indoors, gnat Killer Indoor, Bug Killer, Insect Killer (Pack of 2 - White)",B0BDT4XZR4,False,True,3.8,1844.0
1,"ZEVO Indoor Flying Insect Trap for Fruit Flies, Gnats, and House Flies (1 Plug-in Base + 3 Refill Cartridge)",B0BWGM5HN5,False,False,4.3,3092.0
2,"Bundle Zevo Flying Insect Trap Refill Kit NO Device - Model 3 2 -Pack (2) Sold Separately, White (M364)",B09YJY3X2D,False,False,4.7,6639.0
3,Pro Zevo Flying Insect Trap Starter Kit 2 Pack,B0CBCGQZVX,False,False,4.6,63.0
4,"J & L Supply Zevo Flying Insect Trap Starter Kit Bundle- Gnat Sticky Traps for Plants House Indoor, Fungus Gnat Sticky Trap - White!",B0BWYW8X9Q,False,False,4.4,430.0
5,"Zevo Fly, Fruit Fly, Gnat & Flying Insect Killer & Repellent (2- Pack)",B08JL4V71X,False,False,3.9,4052.0
6,Bundle Zevo Flying Insect Trap Refill Kit NO Device - Model 3-2 Pack (4 Cartridges),B0CG8VFG99,False,False,4.8,9.0
7,"Zevo Roach Killer Ant, Roach, Spider Insect Spray (10 oz) | Indoor Outdoor Use | Instant Action | Pet People Friendly Safe (2)",B08L1H8H9D,False,False,4.2,1278.0
8,"Zevo Instant Action Multi-Insect gets Ride Ants, roaches and More, Indoor Outdoor Use, Bio-Selective Pet People Friendly Safe + Venancio’sFridge Sticker & Sticky Fruit Trap (Zevo 12oz - Pack of 1)",B0CFX4J8WH,False,False,4.0,5.0
9,"ZEVO, Blue",B0B34BPQVY,False,False,4.3,10286.0
10,Flying Insect Trap Plug-in Mosquito Killer Indoor Gnat Moth Catcher Fly Tapper with Night Light UV Attractant Catcher for Home Office White-1PACK,B09YXPRQWW,False,True,3.9,3849.0
11,"Fly Trap, Plug in Flying Insect Trap, Fruit Fly Traps for Indoors-Safer Home Indoor- Bug Light Indoor Plug in- Mosquito,Fruit Fly, Gnat Trap, Flea Trap, Bugs- No Odor (2 Device+6 Refills)",B0BKX931FF,False,True,4.0,1021.0
12,"Fly Trap, Plug in Flying Insect Trap, Fruit Fly Traps for Indoors- Safer Home Indoor- Bug Light Indoor Plug in- Mosquito Trap, Fruit Fly Killer, Gnat Trap, Flea Trap- (2 Device+6 Glue Boards)",B0BZTJMV2F,False,True,3.8,1376.0
13,"Flying Insect Trap for Indoors - Plug-in Fly Traps: Catch Fruit Flies, Mosquitoes, Gnats, Moths & Other Insects with UV Light and Sticky Board - Gnat Killer for Home. (4-PK Device Black)",B0C5V2JH77,False,True,3.2,51.0
14,Electric Flying Insect Trap Starter Kit - Zevo | Mosquito Killer| Fruit Fly Trap | UV Light attracts Insect |,B07T869RNY,False,False,4.3,7388.0
15,"Raid Essentials Flying Insect Light Trap Starter Kit, 1 Plug-in Device + 1 Cartridge, Featuring Light Powered Attraction",B0BWK914GM,False,False,3.6,1841.0
16,"Safer Home SH502 Indoor Plug-In Fly Trap for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects – 400 Sq Ft of Protection",B09T3T1FYN,False,False,4.3,15437.0
17,"Flying Insect Trap, Indoor Plug-in Fly Trap for Home, Mosquito Killer Indoor Gnat Moth Catcher with Night UV Light, Mosquito Attractant Fly Bug Zapper for Home, Office (1 x Trap & 4 x Refills)",B0C54RHSX6,False,False,3.8,237.0
18,"Flying Insect Trap, Indoor Plug-in Fly Trap for Home, Mosquito Killer Indoor Gnat Moth Catcher with Night UV Light, Mosquito Attractant Fly Bug Zapper for Home, Office (1 x Trap & 4 x Refills)",B0C54RHSX6,False,True,3.8,237.0
19,8 Pack Fly Device Refill Cartridges Compatible with ZEEVO M364,B0C4T8KFY5,False,True,4.3,18.0
20,"Zevo Instant Action Multi-Insect gets Ride Ants, roaches and More, Indoor Outdoor Use, Bio-Selective Pet People Friendly Safe + Venancio’sFridge Sticker & Sticky Fruit Trap (Zevo 12oz - Pack of 1)",B0CFX4J8WH,False,True,4.0,5.0
21,"Katchy Indoor Insect Trap - Catcher & Killer for Mosquitos, Gnats, Moths, Fruit Flies - Non-Zapper Traps for Inside Your Home - Catch Insects Indoors with Suction, Bug Light & Sticky Glue (Black)",B07B6RZP4H,False,True,3.9,102810.0
