rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Vimergy Organic Liquid Zinc, 57 Servings – Alcohol Free Zinc Sulfate – Supports Immune Health & Metabolism – Antioxidant – Gluten-Free, Non-GMO, Kosher, Vegan & Paleo Friendly (115 ml)",B07K81NS56,False,True,4.8,3438.0
1,Thorne Zinc Picolinate 30 mg - Well-Absorbed Zinc Supplement for Growth and Immune Function - 180 Capsules,B00B8YTP12,False,True,4.8,8761.0
2,"Trace Minerals | Liquid Ionic Zinc | 50 mg Zinc with Magnesium | Supports Immune System, Digestion, Growth, & Development | For Kids and Adults | 45 servings, 2 fl oz (1 Pack)",B000LQY1DU,False,True,4.5,1054.0
3,"Designs for Health Zinc Supreme - 30mg Zinc Bisglycinate Chelate Supplement with Cofactors Taurine, Vitamin B6, B2 + Molybdenum - Immune Support Supplement - Vegan + Non-GMO (90 Capsules)",B000FH125U,False,True,4.8,1028.0
4,"Nature's Bounty Zinc, Immune Support, 50 mg, Caplets, 100 Ct",B000GCQ8X0,False,False,4.7,152683.0
5,"Nature Made Zinc 30 mg, Dietary Supplement for Immune Health and Antioxidant Support, 100 Tablets, 100 Day Supply",B0000DJAPU,False,False,4.6,12019.0
6,"NOW Supplements, Zinc (Zinc Gluconate) 50 mg, Supports Enzyme Functions*, Immune Support*, 100 Tablets",B009K6TN08,False,False,4.7,10773.0
7,"Garden of Life Zinc Supplements 30mg High Potency Raw Zinc and Vitamin C Multimineral Supplement, Vitamin Code / Trace Minerals & Probiotics for Skin Health & Immune Support, 60 Vegan Capsules",B0098U0QC0,False,False,4.8,29641.0
8,"Nature's Bounty Zinc 50mg, Immune Support & Antioxidant Supplement, Promotes Skin Health 250 Caplets",B08YLTCDTN,False,False,4.7,51268.0
9,"Chelated Zinc Supplement 100mg | 250 Tablets | High Potency & Superior Absorption | Vegetarian, Non-GMO, Gluten Free | by Horbaach",B07QF5YZPM,False,False,4.6,7892.0
10,"Amazon Brand - Solimo Zinc 30mg, Unflavored, 300 Tablets, Ten Month Supply",B087THGHM1,True,False,4.6,1312.0
11,"Dr. Berg's Advanced Immune Support - Daily Immunity Multi-System Defense Supplement with Vitamins C, D, Zinc, & Elderberry, 90 Vegetarian Capsules",B08CY5P1K5,False,True,4.8,336.0
12,MaryRuth's Ionic Liquid Zinc Drops | Liquid Zinc Supplement for Immune Support & Skin Health | Ionic Zinc for Kids & Adults | Zinc Sulfate| Vegan | Non-GMO | Gluten Free | 40 Servings,B086V9K5F7,False,True,4.7,14660.0
13,"Jarrow Formulas Probiotic + Immune 2 Billion CFU With 2 Clinically-Studied Strains, Vitamins C, D & Zinc, Dietary Supplement for Digestive and Immune Support, 90 Orange-Flavored Gummies, 45 Day Supply",B09JGS16MF,False,True,4.1,74.0
14,"Pure Encapsulations Zinc 30 mg - Supplement for Immune System Support, Growth and Development, and Wound Healing* - with Zinc Picolinate 30 mg - 60 Capsules",B00083B1DY,False,False,4.8,12279.0
15,"NOW Supplements, Zinc Picolinate 50 mg, Supports Enzyme Functions*, Immune Support*, 120 Veg Capsules",B000TMJZ4G,False,False,4.7,6398.0
16,"Vitafusion Power Zinc Gummy Vitamins, Strawberry Tangerine Flavored Immune Support (1), 90 Count",B08L7RJWTW,False,False,4.8,2555.0
17,"Solgar Zinc 50 mg, 100 Tablets - Zinc for Healthy Skin, Taste & Vision - Immune System & Antioxidant Support - Supports Cell Growth & DNA Formation - Non GMO, Vegan, Gluten Free - 100 Servings",B000A6LUC6,False,False,4.7,11479.0
18,"Sports Research Zinc Picolinate 50mg with Organic Coconut Oil | Highly Absorbable Zinc Supplement for Healthy Immune Function - Non-GMO Verified, Gluten & Soy Free (60 Liquid Softgels)",B0918RXWRY,False,True,4.7,1443.0
19,Pure Encapsulations UltraZin Zinc | Enhanced Absorption Mineral Support for Metabolism and Immune Health* | 90 Capsules,B07D956X4P,False,True,4.7,373.0
20,"Pure Encapsulations Zinc 30 mg - Supplement for Immune System Support, Growth and Development, and Wound Healing* - with Zinc Picolinate 30 mg - 60 Capsules",B00083B1DY,False,True,4.8,12279.0
21,"Dr. Berg's Vitamin D3 K2 w/MCT Oil - Includes 10,000 IU of Vitamin D3, 100 mcg MK7 Vitamin K2, Purified Bile Salts, Zinc & Magnesium for Ultimate Absorption - K2 D3 Vitamin Supplement - 120 Capsule",B06WRNG37C,False,True,4.7,9599.0
22,Zinc Orotate 60 mg 200 Tabs,B004UAPG46,False,False,4.7,594.0
23,"Nature's Way Zinc Chelate, Supports Immune Function*, 30 mg per serving, 100 Capsules",B0001VU01C,False,False,4.7,6834.0
24,"Solgar Zinc Picolinate 22 mg, 100 Tablets - Promotes Healthy Skin - Supports Immune System, Normal Taste & Vision - Antioxidant - Non GMO, Vegan, Gluten Free, Dairy Free, Kosher - 100 Servings",B00020ICLC,False,False,4.7,7504.0
25,"Designs for Health Zinc Supreme - 30mg Zinc Bisglycinate Chelate Supplement with Cofactors Taurine, Vitamin B6, B2 + Molybdenum - Immune Support Supplement - Vegan + Non-GMO (90 Capsules)",B000FH125U,False,False,4.8,1028.0
26,"Solgar Chelated Zinc, 250 Tablets - Zinc for Healthy Skin - Supports Cell Growth & DNA Formation - Exerts Antioxidant Activity - Supports A Healthy Immune System - Non GMO, Vegan - 250 Servings",B00024D8N0,False,False,4.7,16131.0
27,Thorne Zinc Picolinate 30 mg - Well-Absorbed Zinc Supplement for Growth and Immune Function - 60 Capsules,B0012ZQPKG,False,False,4.8,8761.0
28,"Thorne Zinc Picolinate 15mg - Highly Absorbable Zinc Supplement - Supports Wellness, Immune System, Eye, Skin, and Reproductive Health - Gluten-Free, Soy-Free, Dairy-Free - 60 Capsules",B0797NSHQX,False,False,4.7,3929.0
29,"Metagenics Zinc AG, Highly Absorbable GI Friendly 20 mg Zinc Arginate and Zinc Glycinate Supplement - 60 Tablets",B001ED1IXA,False,False,4.8,616.0
30,"MaryRuth Organics, Ionic Zinc Liquid Drops for Immune Support Unflavored 4oz.(120 ml) 2 Pack",B08T9YP62Q,False,False,4.7,14660.0
31,"EZ Melts Dissolvable Zinc Supplement 30 mg, Sugar-Free, 2-Month Supply",B00VXE7MSA,False,False,4.7,8022.0
32,"Mary Ruth's, Ionic Zinc Strawberry Lemon Organic, 4 Fl Oz",B0C8ZH8ST6,False,False,,
33,"Life Extension Zinc Caps, zinc 50 mg, zinc citrate, Support the body's immune defenses, ultra-absorbable, vegetarian, non-GMO, gluten-free, 90 vegetarian capsules",B004S8CNMS,False,False,4.7,6217.0
34,"Sandhu's Zinc Quercetin 120 Vegetarian Capsules – Zinc Supplements for Antioxidant Immune Support Zinc for Men and Women – Gluten, Soy, Dairy Free",B087YLTR4G,False,False,4.8,16465.0
35,"New Chapter Zinc Supplement, Fermented Zinc Complex, ONE Daily for Immune Support + Skin Health + Non-GMO Ingredients, Easy to Swallow & Digest, 60 Count (2 Month Supply)",B0015R2TCO,False,False,4.7,3743.0
36,"Pure Encapsulations Zinc 15 mg - Zinc Picolinate Supplement for Immune System Support, Growth & Development - for Wound Healing - with Premium Zinc Picolinate - 60 Capsules",B0017QCNUQ,False,False,4.8,4360.0
