rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basic Care 24 Hour Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 300 Count",B074F145Y1,True,False,4.8,54608
1,"Amazon Basic Care All Day Allergy Medicine, 24 Hour Allergy Liquid Gels Capsule, Cetirizine Hydrochloride, 10 mg, Antihistamine, 40 Count",B07QCNJXL1,True,False,4.7,1143
2,"Amazon Basic Care Loratadine Tablets 10 mg, Antihistamine, Medicine for 24 Hour Allergy Relief, 300 Count",B074F18H5N,True,False,4.7,19468
3,"Amazon Basic Care All Day Allergy, Cetirizine Hydrochloride Tablets, 10 mg, Antihistamine, 90 Count",B074QPXFWF,True,False,4.7,318
4,"Amazon Basic Care 24 Hour Allergy Relief, Levocetirizine Dihydrochloride Tablets, 5 mg, Antihistamine, Relieves Sneezing, Runny Nose, Itchy Nose or Throat and Itchy, Watery Eyes, 80 Count",B083VVT61S,True,False,4.7,5595
5,"Amazon Basic Care 24-Hour Allergy Medicine, Loratadine Orally Disintegrating Tablets, 10 mg, Antihistamine, Melts in Your Mouth, for Ages 6 and up, 30 Count",B087D37FXJ,True,False,4.7,1082
6,"Amazon Basic Care Children's Allergy Relief, Loratadine Chewable Tablets, 5 mg, 24 Hour Medicine, Grape Flavored, 40 Count",B07HGC1QMJ,True,False,4.8,2472
7,"Amazon Basic Care Children’s 24 Hour Allergy Relief, Cetirizine Hydrochloride Oral Solution 1 mg/mL, Grape Flavor, Dye Free, 8 Fluid Ounces",B074F29NW8,True,False,4.8,6858
8,"Amazon Basic Care Allergy Relief Diphenhydramine HCl 25 mg, Antihistamine Tablets for Symptoms Due to Hay Fever and Upper Respiratory Allergies, 100 Count",B07HD8SFNT,True,False,4.8,38075
9,"Amazon Basic Care Children’s Allergy Medicine, 24 Hour Loratadine Oral Solution 5 mg/5 mL, Non-Drowsy Antihistamine, Grape Flavor, Ages 2 and Older, 8 Fluid Ounces",B07GX2BVZD,True,False,4.7,1863
10,"Amazon Basic Care 24 Hour Allergy Nasal Spray, Triamcinolone Acetonide 55 mcg per spray, Allergy Medicine, Non-Drowsy, 0.57 Fluid Ounce",B079PD1Q6L,True,False,4.7,2337
11,"Amazon Basic Care Children's Allergy Relief Liquid, Kids Allergy Medicine with Diphenhydramine HCl, Antihistamine, Cherry Flavor, for Children Ages 6-11 Years, 8 Fluid Ounces",B074F29NVK,True,False,4.8,4984
