rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basic Care 24 Hour Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 300 Count",B074F145Y1,True,False,4.8,54608
1,"ValuMeds 24-Hour Allergy Medicine (300-Count) Antihistamine for Pollen, Hay Fever, Dry, Itchy Eyes, Allergies | Cetirizine HCl 10mg Caplets, Compare to Zyrtec",B07KFPLDGB,False,True,4.7,26287
2,"HealthA2Z® Allergy Relief | 300 Tablets | Cetirizine 10mg | All Day Allergy | Indoor & Outdoor | Relief from Itchy Throat, Sneezing, Runny Noses",B0C3NBPFZP,False,True,4.8,26
3,"Claritin 24 Hour Allergy Medicine, Non-Drowsy Prescription Strength Allergy Relief, Loratadine Antihistamine Liqui-Gels, 1x30, 1x10, 1x60, 100 Total Liqui-Gels",B0BX7GY18B,False,True,4.5,58
4,"Zyrtec 24 Hour Allergy Relief Tablets, Indoor & Outdoor Allergy Medicine with 10 mg Cetirizine HCl per Antihistamine Tablet, Relief from Runny Nose, Sneezing, Itchy Eyes & More, 60 ct",B08JVPNBGM,False,False,4.8,3788
5,"Amazon Basic Care 24 Hour Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 300 Count",B074F145Y1,True,False,4.8,54608
6,"Zyrtec 24 Hour Allergy Relief Tablets - 10mg, 90 ct",B08JWKRGN8,False,False,4.8,4614
7,"Zyrtec Tablets, 10 Mg (120 Count)",B08CBMB82C,False,False,4.9,513
8,Zyrtec Cetirizine Hcl/Antihistamine (120 Tablets 10mg Each),B004TBJR5K,False,False,4.9,2788
9,"GoodSense All Day Allergy, Compare to Zyrtec, Cetirizine Hydrochloride Tablets, 10 mg, Antihistamine, 365 Count",B00G9E1GYA,False,False,4.7,47598
10,"Amazon Basic Care All Day Allergy Medicine, 24 Hour Allergy Liquid Gels Capsule, Cetirizine Hydrochloride, 10 mg, Antihistamine, 40 Count",B07QCNJXL1,True,False,4.7,1143
11,Zyrtec Fever Cetrizine HCl/Antihistamine - 10mg/100 Tablets,B00N55GJDY,False,False,4.8,1587
12,"Zyrtec Allergy Relief (10 mg), 90 Tablets",B004AI7G3W,False,False,4.8,3542
13,"Zyrtec 24 Hour Allergy Relief Tablets, Bundle with 1 x 30ct and 3 x 1ct Travel Packs",B08QKRMC7L,False,False,4.8,8005
14,"Zyrtec Bonus Pack, 40-Count by Zyrtec",B01AVJ08JW,False,False,4.7,1999
15,"Zyrtec Allergy Relief (10 mg), 30 Tablets",B0015ZQFQW,False,False,4.8,613
16,"HealthA2Z® Allergy Relief | Cetirizine 10mg | 250 Tablets | All Day Allergy Relief | Indoor & Outdoor | Relief from Itchy Throat, Sneezing, Runny Noses",B07S1BZXVW,False,True,4.7,5147
17,"HealthA2Z® Allergy Relief | Diphenhydramine HCL 25mg | Antihistamine | Relief from Itchy Throat, Sneezing, Runny Noses | Indoor & Outdoors Allergies (600 Caplets (Pack of 1))",B08TTCJL3W,False,True,4.8,1236
18,"RIGHT REMEDIES Allergy Relief, Antihistamine, Diphenhydramine HCL 25mg, Generic Benadryl Capsules, Relieves Seasonal Indoor or Outdoor Allergies, Runny Nose, Sneezing Allergy Relief (1000 Capsules)",B09WGRDC2B,False,True,5.0,1
19,"Nasacort 24HR Allergy Nasal Spray for Adults, Non-drowsy & Alcohol Free, 240 Sprays, 0.57 fl.oz. 2Ct",B00M1QM8EM,False,True,4.7,9085
20,"Zyrtec Children's 24 HR Dissolving Allergy Tablets, Cetirizine, Citrus Flavor, 24 ct",B004E0QGOQ,False,False,4.8,5299
21,"Zyrtec 24 Hour Allergy Relief Tablets, 10 mg Cetirizine HCl Antihistamine Allergy Medicine, 45 ct",B000X1IZD0,False,False,4.8,5305
22,"Zyrtec 24 HR Allergy Relief Liquid Gel Capsules, Cetirizine HCl Antihistamine, 12 ct",B002ZN5U8W,False,False,4.5,152
