rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"ZzzQuil, Nighttime Sleep Aid LiquiCaps, 25 mg Diphenhydramine HCl, No.1 Sleep-Aid Brand, Non-Habit Forming, Wake Refreshed, 72 LiquiCaps",B01M2CZMOS,False,True,4.5,6610.0
1,"Zzzquil, Pure ZZZs, Enhanced Melatonin, Sleep Aid Gummies, 3X Melatonin, Helps you Naturally Fall Asleep Fast, 6mg Melatonin & Blend of Chamomile, Lavender & Valerian Root, 100 Count",B0BQLVH1NG,False,True,4.3,441.0
2,"ZzzQuil, Sleep Aid, Nighttime Sleep Aid Liquid, 50 mg Diphenhydramine HCl, Fall Asleep Fast, Non-Habit Forming, Warming Berry Flavor, 12 FL OZ x 2 (Twin Pack)",B007OSBYRY,False,False,4.7,5638.0
3,"ZzzQuil, Nighttime Sleep Aid LiquiCaps, 25 mg Diphenhydramine HCl, No.1 Sleep-Aid Brand, Non-Habit Forming, Wake Refreshed, 72 LiquiCaps",B01M2CZMOS,False,False,4.5,6610.0
4,"ZzzQuil ULTRA, Sleep Aid, Nighttime Sleep Aid, 25 mg Doxylamine Succinate, From Makers of Nyquil, Non- Habit Forming, Fall Asleep Fast, Stay Asleep Longer, 48 Count",B08Y74HSSH,False,False,4.3,4835.0
5,"ZzzQuil PURE Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per gummy, 72 Count",B07N46LTJJ,False,False,4.5,21398.0
6,"ZzzQuil, Nighttime Sleep Aid Liquid, FREE OF Alcohol & Artificial Dyes, 50 mg Diphenhydramine HCl, No1 Sleep Aid Brand, Fall Asleep Fast, Non-Habit Forming, Soothing Berry Flavor, 12 FL OZ (Pack of 1)",B0111W9BQO,False,False,4.5,3019.0
7,"ZzzQuil, Nighttime Sleep Aid Liquid, 50 mg Diphenhydramine HCl, No.1 Sleep-Aid Brand, Calming Vanilla Cherry Flavor, Non-Habit Forming, 12 FL OZ",B01MXEMYVO,False,False,4.7,2303.0
8,"ZzzQuil, Nighttime Sleep Aid LiquiCaps, 25 mg Diphenhydramine HCl, No.1 Sleep-Aid Brand, Non-Habit Forming, Fall Asleep Fast, 48 Count",B007MB60CC,False,False,4.5,6116.0
9,"ZzzQuil PURE Zzzs Triple Action, 6mg Melatonin Gummies, 3X Sleep Aid with Ashwagandha, Calm Mood & Antioxidant for Adults, 6 mg per serving, 60 Count",B086KHBY2J,False,False,4.4,8206.0
